surgeon_id,surgeon_name,speciality,subspecialty,preferred_retractor_size,preferred_drill_brand,needs_backup_suction,years_of_experience,hospital_affiliation,procedure,instrument,generation_timestamp
6857,Miss Schneider,Orthopaedics,Foot and Ankle,Large,Medtronic,True,24,"Jones, Valentine and Brown",Lateral Ligament Reconstruction,Small Bone Fixation Set,2026-05-04T21:07:18.242404
8086,Mrs Ali,Orthopaedics,Foot and Ankle,Extra Large,Zimmer Biomet,False,24,Martinez-Brown,Achilles Tendon Repair,Stryker Ankle Fusion Set,2026-05-04T21:07:18.242404
3020,Mr Smith,Orthopaedics,Trauma,Extra Large,Smith & Nephew,False,15,Maldonado-Rogers,Weil Osteotomy,Conmed Small Joint Set,2026-05-04T21:07:18.242404
3020,Mr Smith,Orthopaedics,Trauma,Extra Large,Smith & Nephew,False,15,Maldonado-Rogers,Removal of Metalwork from Foot,Smith & Nephew Small Fragment Set,2026-05-04T21:07:18.242404
4360,Miss Maynard,Orthopaedics,Foot and Ankle,Large,Stryker,True,20,"Davis, Jackson and Rodriguez",Achilles Tendon Repair,Stryker Ankle Fusion Set,2026-05-04T21:07:18.242404
5152,Mr Andrade,Orthopaedics,Joints,Extra Large,Stryker,True,11,Price Inc,Reverse Total Shoulder Replacement,J&J PFC Knee Retractors,2026-05-04T21:07:18.242404
5118,Mrs Banks,Orthopaedics,Paediatric,Large,Depuy Synthes,False,22,Newman Group,Paediatric Fracture Fixation,Paediatric Drills,2026-05-04T21:07:18.242404
7186,Ms Scott,Orthopaedics,Joints,Small,Smith & Nephew,True,23,Peterson-Marsh,Anatomical Shoulder Replacement,DePuy Synthes Hip Kit,2026-05-04T21:07:18.242404
9072,Mrs Price,Orthopaedics,Joints,Small,Smith & Nephew,False,25,Anderson-Delgado,Unicompartmental Knee Replacement,Large Orthopaedic Set,2026-05-04T21:07:18.242404
8086,Mrs Ali,Orthopaedics,Foot and Ankle,Extra Large,Zimmer Biomet,False,24,Martinez-Brown,Achilles Tendon Repair,Lateral Ligament Reconstruction Set,2026-05-04T21:07:18.242404
5697,Miss Goodwin,Orthopaedics,Trauma,Large,Smith & Nephew,True,11,Suarez and Sons,Weil Osteotomy,Mr. Mask Foot Instruments,2026-05-04T21:07:18.242404
5017,Mr Rodriguez,Orthopaedics,Paediatric,Medium,Zimmer Biomet,True,24,Howard-Gordon,Paediatric Femoral Osteotomy,Paediatric Orthopaedic Set,2026-05-04T21:07:18.242404
5017,Mr Rodriguez,Orthopaedics,Paediatric,Medium,Zimmer Biomet,True,24,Howard-Gordon,Blount’s Disease Correction,Titanium Elastic Nails,2026-05-04T21:07:18.242404
7709,Miss Lambert,Orthopaedics,Spine,Extra Large,Medtronic,False,25,Lopez-Carter,Spinal Microdiscectomy,Globus Medical Spine Set,2026-05-04T21:07:18.242404
5434,Mrs Solis,Orthopaedics,Spine,Large,Depuy Synthes,False,18,"Edwards, Bishop and Bullock",Cervical Spinal Fusion,Medtronic CD Horizon Set,2026-05-04T21:07:18.242404
7585,Mr King,Orthopaedics,Joints,Large,Zimmer Biomet,True,25,Shields-Hall,Anatomical Shoulder Replacement,Arthrex Arthroscopy Set,2026-05-04T21:07:18.242404
1154,Ms Mcdaniel,Orthopaedics,Paediatric,Small,Depuy Synthes,False,26,Cortez-Watson,Blount’s Disease Correction,Paediatric Drills,2026-05-04T21:07:18.242404
3020,Mr Smith,Orthopaedics,Trauma,Extra Large,Smith & Nephew,False,15,Maldonado-Rogers,Ankle ORIF,Smith & Nephew Small Fragment Set,2026-05-04T21:07:18.242404
5697,Miss Goodwin,Orthopaedics,Trauma,Large,Smith & Nephew,True,11,Suarez and Sons,Removal of Metalwork from Foot,Acumed Acutrak Screw Removal Set,2026-05-04T21:07:18.242404
6739,Mr Lopez,Orthopaedics,Trauma,Large,Depuy Synthes,True,11,Dalton-Carter,Femoral Nail Removal,Tornier Humeral Fracture Set,2026-05-04T21:07:18.242404
9418,Mr Bowers,Orthopaedics,Foot and Ankle,Medium,Medtronic,False,24,Alexander-Ellis,Triple Arthrodesis,Achilles Tendon Repair Kit,2026-05-04T21:07:18.242404
8086,Mrs Ali,Orthopaedics,Foot and Ankle,Extra Large,Zimmer Biomet,False,24,Martinez-Brown,Triple Arthrodesis,Lateral Ligament Reconstruction Set,2026-05-04T21:07:18.242404
9072,Mrs Price,Orthopaedics,Joints,Small,Smith & Nephew,False,25,Anderson-Delgado,ACL Reconstruction with LET,Initial Retractors,2026-05-04T21:07:18.242404
1154,Ms Mcdaniel,Orthopaedics,Paediatric,Small,Depuy Synthes,False,26,Cortez-Watson,Paediatric Fracture Fixation,Titanium Elastic Nails,2026-05-04T21:07:18.242404
5697,Miss Goodwin,Orthopaedics,Trauma,Large,Smith & Nephew,True,11,Suarez and Sons,Weil Osteotomy,Tornier Humeral Fracture Set,2026-05-04T21:07:18.242404
6739,Mr Lopez,Orthopaedics,Trauma,Large,Depuy Synthes,True,11,Dalton-Carter,Ankle ORIF,Mola Set,2026-05-04T21:07:18.242404
4840,Mr Sullivan,Orthopaedics,Foot and Ankle,Small,Stryker,True,22,Fowler PLC,Triple Arthrodesis,Achilles Tendon Repair Kit,2026-05-04T21:07:18.242404
4360,Miss Maynard,Orthopaedics,Foot and Ankle,Large,Stryker,True,20,"Davis, Jackson and Rodriguez",Triple Arthrodesis,Achilles Tendon Repair Kit,2026-05-04T21:07:18.242404
4840,Mr Sullivan,Orthopaedics,Foot and Ankle,Small,Stryker,True,22,Fowler PLC,Achilles Tendon Repair,Hallux Valgus Set,2026-05-04T21:07:18.242404
9374,Miss Gutierrez,Orthopaedics,Trauma,Medium,Arthrex V300,True,7,French and Sons,TMTJ Fusion,Tornier Humeral Fracture Set,2026-05-04T21:07:18.242404
1154,Ms Mcdaniel,Orthopaedics,Paediatric,Small,Depuy Synthes,False,26,Cortez-Watson,Clubfoot Correction,Micro Screws Set,2026-05-04T21:07:18.242404
8607,Ms Wood,Orthopaedics,Trauma,Extra Large,Stryker,True,5,"Bryant, Payne and Fowler",Removal of Metalwork from Foot,Conmed Small Joint Set,2026-05-04T21:07:18.242404
7709,Miss Lambert,Orthopaedics,Spine,Extra Large,Medtronic,False,25,Lopez-Carter,Anterior Cervical Discectomy,SI Bone Fuse Set,2026-05-04T21:07:18.242404
6739,Mr Lopez,Orthopaedics,Trauma,Large,Depuy Synthes,True,11,Dalton-Carter,Weil Osteotomy,Mr. Mask Foot Instruments,2026-05-04T21:07:18.242404
7186,Ms Scott,Orthopaedics,Joints,Small,Smith & Nephew,True,23,Peterson-Marsh,Uncemented Hip Replacement,J&J PFC Knee Retractors,2026-05-04T21:07:18.242404
9418,Mr Bowers,Orthopaedics,Foot and Ankle,Medium,Medtronic,False,24,Alexander-Ellis,Achilles Tendon Repair,Lateral Ligament Reconstruction Set,2026-05-04T21:07:18.242404
5697,Miss Goodwin,Orthopaedics,Trauma,Large,Smith & Nephew,True,11,Suarez and Sons,Femoral Nail Removal,Synthes Distal Radius Plate Set,2026-05-04T21:07:18.242404
5697,Miss Goodwin,Orthopaedics,Trauma,Large,Smith & Nephew,True,11,Suarez and Sons,DIPJ/PIPJ Fusion,Tornier Humeral Fracture Set,2026-05-04T21:07:18.242404
6739,Mr Lopez,Orthopaedics,Trauma,Large,Depuy Synthes,True,11,Dalton-Carter,Ankle ORIF,Acumed Acutrak Screw Removal Set,2026-05-04T21:07:18.242404
7655,Ms Nielsen,Orthopaedics,Paediatric,Large,Arthrex V300,True,13,Miller-Ellis,Clubfoot Correction,Synthes Paediatric Plates,2026-05-04T21:07:18.242404
5152,Mr Andrade,Orthopaedics,Joints,Extra Large,Stryker,True,11,Price Inc,Patellofemoral Joint Replacement,Muller Basic Hip Set,2026-05-04T21:07:18.242404
9418,Mr Bowers,Orthopaedics,Foot and Ankle,Medium,Medtronic,False,24,Alexander-Ellis,Lateral Ligament Reconstruction,Achilles Tendon Repair Kit,2026-05-04T21:07:18.242404
5697,Miss Goodwin,Orthopaedics,Trauma,Large,Smith & Nephew,True,11,Suarez and Sons,Ankle ORIF,Tornier Humeral Fracture Set,2026-05-04T21:07:18.242404
5152,Mr Andrade,Orthopaedics,Joints,Extra Large,Stryker,True,11,Price Inc,Patellofemoral Joint Replacement,Conmed Power Tools,2026-05-04T21:07:18.242404
3020,Mr Smith,Orthopaedics,Trauma,Extra Large,Smith & Nephew,False,15,Maldonado-Rogers,Ankle ORIF,Smith & Nephew Small Fragment Set,2026-05-04T21:07:18.242404
5152,Mr Andrade,Orthopaedics,Joints,Extra Large,Stryker,True,11,Price Inc,ACL Reconstruction with LET,Stryker System 6 Retractors,2026-05-04T21:07:18.242404
7709,Miss Lambert,Orthopaedics,Spine,Extra Large,Medtronic,False,25,Lopez-Carter,Arthroscopic Spinal Decompression,SI Bone Fuse Set,2026-05-04T21:07:18.242404
6739,Mr Lopez,Orthopaedics,Trauma,Large,Depuy Synthes,True,11,Dalton-Carter,TMTJ Fusion,Hand Set Extras,2026-05-04T21:07:18.242404
9418,Mr Bowers,Orthopaedics,Foot and Ankle,Medium,Medtronic,False,24,Alexander-Ellis,Hallux Valgus Correction,Lateral Ligament Reconstruction Set,2026-05-04T21:07:18.242404
8607,Ms Wood,Orthopaedics,Trauma,Extra Large,Stryker,True,5,"Bryant, Payne and Fowler",DIPJ/PIPJ Fusion,Mr. Mask Foot Instruments,2026-05-04T21:07:18.242404
7655,Ms Nielsen,Orthopaedics,Paediatric,Large,Arthrex V300,True,13,Miller-Ellis,Clubfoot Correction,Synthes Paediatric Plates,2026-05-04T21:07:18.242404
7186,Ms Scott,Orthopaedics,Joints,Small,Smith & Nephew,True,23,Peterson-Marsh,Uncemented Hip Replacement,Norfolk and Norwich Retractors,2026-05-04T21:07:18.242404
7655,Ms Nielsen,Orthopaedics,Paediatric,Large,Arthrex V300,True,13,Miller-Ellis,Clubfoot Correction,Titanium Elastic Nails,2026-05-04T21:07:18.242404
9072,Mrs Price,Orthopaedics,Joints,Small,Smith & Nephew,False,25,Anderson-Delgado,Reverse Total Shoulder Replacement,Norfolk and Norwich Retractors,2026-05-04T21:07:18.242404
9418,Mr Bowers,Orthopaedics,Foot and Ankle,Medium,Medtronic,False,24,Alexander-Ellis,Hallux Valgus Correction,DePuy Synthes Foot Plates,2026-05-04T21:07:18.242404
3020,Mr Smith,Orthopaedics,Trauma,Extra Large,Smith & Nephew,False,15,Maldonado-Rogers,TMTJ Fusion,Synthes Distal Radius Plate Set,2026-05-04T21:07:18.242404
6857,Miss Schneider,Orthopaedics,Foot and Ankle,Large,Medtronic,True,24,"Jones, Valentine and Brown",Lateral Ligament Reconstruction,Achilles Tendon Repair Kit,2026-05-04T21:07:18.242404
7709,Miss Lambert,Orthopaedics,Spine,Extra Large,Medtronic,False,25,Lopez-Carter,Spinal Microdiscectomy,Medtronic CD Horizon Set,2026-05-04T21:07:18.242404
5434,Mrs Solis,Orthopaedics,Spine,Large,Depuy Synthes,False,18,"Edwards, Bishop and Bullock",Cervical Spinal Fusion,Globus Medical Spine Set,2026-05-04T21:07:18.242404
5152,Mr Andrade,Orthopaedics,Joints,Extra Large,Stryker,True,11,Price Inc,Total Knee Replacement,Muller Basic Hip Set,2026-05-04T21:07:18.242404
4360,Miss Maynard,Orthopaedics,Foot and Ankle,Large,Stryker,True,20,"Davis, Jackson and Rodriguez",Lateral Ligament Reconstruction,DePuy Synthes Foot Plates,2026-05-04T21:07:18.242404
9374,Miss Gutierrez,Orthopaedics,Trauma,Medium,Arthrex V300,True,7,French and Sons,MTPJ Fusion,Acumed Acutrak Screw Removal Set,2026-05-04T21:07:18.242404
9374,Miss Gutierrez,Orthopaedics,Trauma,Medium,Arthrex V300,True,7,French and Sons,Removal of Metalwork from Foot,Hand Set,2026-05-04T21:07:18.242404
5697,Miss Goodwin,Orthopaedics,Trauma,Large,Smith & Nephew,True,11,Suarez and Sons,Tibial Plateau Fracture Fixation,Mola Set,2026-05-04T21:07:18.242404
1154,Ms Mcdaniel,Orthopaedics,Paediatric,Small,Depuy Synthes,False,26,Cortez-Watson,Paediatric Femoral Osteotomy,Synthes Paediatric Plates,2026-05-04T21:07:18.242404
7709,Miss Lambert,Orthopaedics,Spine,Extra Large,Medtronic,False,25,Lopez-Carter,Lumbar Spinal Fusion,Conmed Power Tools,2026-05-04T21:07:18.242404
5152,Mr Andrade,Orthopaedics,Joints,Extra Large,Stryker,True,11,Price Inc,Unicompartmental Knee Replacement,Conmed Power Tools,2026-05-04T21:07:18.242404
9072,Mrs Price,Orthopaedics,Joints,Small,Smith & Nephew,False,25,Anderson-Delgado,Patellofemoral Joint Replacement,Muller Basic Hip Set,2026-05-04T21:07:18.242404
6857,Miss Schneider,Orthopaedics,Foot and Ankle,Large,Medtronic,True,24,"Jones, Valentine and Brown",Triple Arthrodesis,Small Bone Fixation Set,2026-05-04T21:07:18.242404
5434,Mrs Solis,Orthopaedics,Spine,Large,Depuy Synthes,False,18,"Edwards, Bishop and Bullock",Kyphoplasty,Spinal Instrumentation Set,2026-05-04T21:07:18.242404
7186,Ms Scott,Orthopaedics,Joints,Small,Smith & Nephew,True,23,Peterson-Marsh,Bipolar Hemiarthroplasty,Initial Retractors,2026-05-04T21:07:18.242404
5017,Mr Rodriguez,Orthopaedics,Paediatric,Medium,Zimmer Biomet,True,24,Howard-Gordon,Paediatric Femoral Osteotomy,Micro Screws Set,2026-05-04T21:07:18.242404
8607,Ms Wood,Orthopaedics,Trauma,Extra Large,Stryker,True,5,"Bryant, Payne and Fowler",TMTJ Fusion,Hand Set Extras,2026-05-04T21:07:18.242404
5152,Mr Andrade,Orthopaedics,Joints,Extra Large,Stryker,True,11,Price Inc,Total Knee Replacement,DePuy Synthes Hip Kit,2026-05-04T21:07:18.242404
8086,Mrs Ali,Orthopaedics,Foot and Ankle,Extra Large,Zimmer Biomet,False,24,Martinez-Brown,Lateral Ligament Reconstruction,Foot and Ankle Arthrodesis Set,2026-05-04T21:07:18.242404
4360,Miss Maynard,Orthopaedics,Foot and Ankle,Large,Stryker,True,20,"Davis, Jackson and Rodriguez",Achilles Tendon Repair,Hallux Valgus Set,2026-05-04T21:07:18.242404
5697,Miss Goodwin,Orthopaedics,Trauma,Large,Smith & Nephew,True,11,Suarez and Sons,MTPJ Fusion,Synthes Distal Radius Plate Set,2026-05-04T21:07:18.242404
7585,Mr King,Orthopaedics,Joints,Large,Zimmer Biomet,True,25,Shields-Hall,Unicompartmental Knee Replacement,Stryker System 6 Retractors,2026-05-04T21:07:18.242404
5152,Mr Andrade,Orthopaedics,Joints,Extra Large,Stryker,True,11,Price Inc,Total Knee Replacement,DePuy Synthes Hip Kit,2026-05-04T21:07:18.242404
5434,Mrs Solis,Orthopaedics,Spine,Large,Depuy Synthes,False,18,"Edwards, Bishop and Bullock",Kyphoplasty,Medtronic CD Horizon Set,2026-05-04T21:07:18.242404
8607,Ms Wood,Orthopaedics,Trauma,Extra Large,Stryker,True,5,"Bryant, Payne and Fowler",TMTJ Fusion,Acumed Acutrak Screw Removal Set,2026-05-04T21:07:18.242404
8607,Ms Wood,Orthopaedics,Trauma,Extra Large,Stryker,True,5,"Bryant, Payne and Fowler",DIPJ/PIPJ Fusion,Smith & Nephew Small Fragment Set,2026-05-04T21:07:18.242404
5152,Mr Andrade,Orthopaedics,Joints,Extra Large,Stryker,True,11,Price Inc,Anatomical Shoulder Replacement,Large Orthopaedic Set,2026-05-04T21:07:18.242404
7186,Ms Scott,Orthopaedics,Joints,Small,Smith & Nephew,True,23,Peterson-Marsh,Uncemented Hip Replacement,DePuy Synthes Hip Kit,2026-05-04T21:07:18.242404
9374,Miss Gutierrez,Orthopaedics,Trauma,Medium,Arthrex V300,True,7,French and Sons,Tibial Plateau Fracture Fixation,Mr. Mask Foot Instruments,2026-05-04T21:07:18.242404
8086,Mrs Ali,Orthopaedics,Foot and Ankle,Extra Large,Zimmer Biomet,False,24,Martinez-Brown,Triple Arthrodesis,Hallux Valgus Set,2026-05-04T21:07:18.242404
3020,Mr Smith,Orthopaedics,Trauma,Extra Large,Smith & Nephew,False,15,Maldonado-Rogers,Femoral Nail Removal,AO Synthes Chisel Set,2026-05-04T21:07:18.242404
9072,Mrs Price,Orthopaedics,Joints,Small,Smith & Nephew,False,25,Anderson-Delgado,Total Knee Replacement,Arthrex Arthroscopy Set,2026-05-04T21:07:18.242404
7585,Mr King,Orthopaedics,Joints,Large,Zimmer Biomet,True,25,Shields-Hall,ACL Reconstruction with LET,Stryker System 6 Retractors,2026-05-04T21:07:18.242404
6857,Miss Schneider,Orthopaedics,Foot and Ankle,Large,Medtronic,True,24,"Jones, Valentine and Brown",Triple Arthrodesis,Lateral Ligament Reconstruction Set,2026-05-04T21:07:18.242404
7655,Ms Nielsen,Orthopaedics,Paediatric,Large,Arthrex V300,True,13,Miller-Ellis,Blount’s Disease Correction,Paediatric Drills,2026-05-04T21:07:18.242404
6857,Miss Schneider,Orthopaedics,Foot and Ankle,Large,Medtronic,True,24,"Jones, Valentine and Brown",Triple Arthrodesis,Achilles Tendon Repair Kit,2026-05-04T21:07:18.242404
7709,Miss Lambert,Orthopaedics,Spine,Extra Large,Medtronic,False,25,Lopez-Carter,Arthroscopic Spinal Decompression,Nuvasive Spine Set,2026-05-04T21:07:18.242404
7709,Miss Lambert,Orthopaedics,Spine,Extra Large,Medtronic,False,25,Lopez-Carter,Lumbar Spinal Fusion,McCulloch Lumbar Retractor Set,2026-05-04T21:07:18.242404
5697,Miss Goodwin,Orthopaedics,Trauma,Large,Smith & Nephew,True,11,Suarez and Sons,Distal Radius ORIF,Synthes Distal Radius Plate Set,2026-05-04T21:07:18.242404
9418,Mr Bowers,Orthopaedics,Foot and Ankle,Medium,Medtronic,False,24,Alexander-Ellis,Lateral Ligament Reconstruction,Hallux Valgus Set,2026-05-04T21:07:18.242404
7585,Mr King,Orthopaedics,Joints,Large,Zimmer Biomet,True,25,Shields-Hall,Reverse Total Shoulder Replacement,Large Orthopaedic Set,2026-05-04T21:07:18.242404
8607,Ms Wood,Orthopaedics,Trauma,Extra Large,Stryker,True,5,"Bryant, Payne and Fowler",Removal of Metalwork from Foot,Acumed Acutrak Screw Removal Set,2026-05-04T21:07:18.242404
5697,Miss Goodwin,Orthopaedics,Trauma,Large,Smith & Nephew,True,11,Suarez and Sons,Femoral Nail Removal,Mr. Mask Foot Instruments,2026-05-04T21:07:18.242404
6739,Mr Lopez,Orthopaedics,Trauma,Large,Depuy Synthes,True,11,Dalton-Carter,Weil Osteotomy,Hand Set,2026-05-04T21:07:18.242404
7186,Ms Scott,Orthopaedics,Joints,Small,Smith & Nephew,True,23,Peterson-Marsh,Uncemented Hip Replacement,Zimmer Biomet Retractors,2026-05-04T21:07:18.242404
9374,Miss Gutierrez,Orthopaedics,Trauma,Medium,Arthrex V300,True,7,French and Sons,Femoral Nail Removal,Hand Set,2026-05-04T21:07:18.242404
3020,Mr Smith,Orthopaedics,Trauma,Extra Large,Smith & Nephew,False,15,Maldonado-Rogers,DIPJ/PIPJ Fusion,Conmed Small Joint Set,2026-05-04T21:07:18.242404
5118,Mrs Banks,Orthopaedics,Paediatric,Large,Depuy Synthes,False,22,Newman Group,Clubfoot Correction,Synthes Paediatric Plates,2026-05-04T21:07:18.242404
5434,Mrs Solis,Orthopaedics,Spine,Large,Depuy Synthes,False,18,"Edwards, Bishop and Bullock",Spinal Decompression,Medtronic CD Horizon Set,2026-05-04T21:07:18.242404
9418,Mr Bowers,Orthopaedics,Foot and Ankle,Medium,Medtronic,False,24,Alexander-Ellis,Hallux Valgus Correction,Achilles Tendon Repair Kit,2026-05-04T21:07:18.242404
9418,Mr Bowers,Orthopaedics,Foot and Ankle,Medium,Medtronic,False,24,Alexander-Ellis,Achilles Tendon Repair,Hallux Valgus Set,2026-05-04T21:07:18.242404
7585,Mr King,Orthopaedics,Joints,Large,Zimmer Biomet,True,25,Shields-Hall,Patellofemoral Joint Replacement,Large Orthopaedic Set,2026-05-04T21:07:18.242404
7186,Ms Scott,Orthopaedics,Joints,Small,Smith & Nephew,True,23,Peterson-Marsh,Unicompartmental Knee Replacement,Large Orthopaedic Set,2026-05-04T21:07:18.242404
7585,Mr King,Orthopaedics,Joints,Large,Zimmer Biomet,True,25,Shields-Hall,Total Knee Replacement,Norfolk and Norwich Retractors,2026-05-04T21:07:18.242404
7585,Mr King,Orthopaedics,Joints,Large,Zimmer Biomet,True,25,Shields-Hall,Unicompartmental Knee Replacement,Muller Basic Hip Set,2026-05-04T21:07:18.242404
6857,Miss Schneider,Orthopaedics,Foot and Ankle,Large,Medtronic,True,24,"Jones, Valentine and Brown",Triple Arthrodesis,Small Bone Fixation Set,2026-05-04T21:07:18.242404
5152,Mr Andrade,Orthopaedics,Joints,Extra Large,Stryker,True,11,Price Inc,Bipolar Hemiarthroplasty,J&J PFC Knee Retractors,2026-05-04T21:07:18.242404
8607,Ms Wood,Orthopaedics,Trauma,Extra Large,Stryker,True,5,"Bryant, Payne and Fowler",TMTJ Fusion,Hand Set,2026-05-04T21:07:18.242404
9374,Miss Gutierrez,Orthopaedics,Trauma,Medium,Arthrex V300,True,7,French and Sons,MTPJ Fusion,Hand Set,2026-05-04T21:07:18.242404
4360,Miss Maynard,Orthopaedics,Foot and Ankle,Large,Stryker,True,20,"Davis, Jackson and Rodriguez",Triple Arthrodesis,Lateral Ligament Reconstruction Set,2026-05-04T21:07:18.242404
6739,Mr Lopez,Orthopaedics,Trauma,Large,Depuy Synthes,True,11,Dalton-Carter,Distal Radius ORIF,Mr. Mask Foot Instruments,2026-05-04T21:07:18.242404
7186,Ms Scott,Orthopaedics,Joints,Small,Smith & Nephew,True,23,Peterson-Marsh,Total Knee Replacement,Arthrex Arthroscopy Set,2026-05-04T21:07:18.242404
4840,Mr Sullivan,Orthopaedics,Foot and Ankle,Small,Stryker,True,22,Fowler PLC,Lateral Ligament Reconstruction,Small Bone Fixation Set,2026-05-04T21:07:18.242404
9418,Mr Bowers,Orthopaedics,Foot and Ankle,Medium,Medtronic,False,24,Alexander-Ellis,Lateral Ligament Reconstruction,Foot and Ankle Arthrodesis Set,2026-05-04T21:07:18.242404
4840,Mr Sullivan,Orthopaedics,Foot and Ankle,Small,Stryker,True,22,Fowler PLC,Achilles Tendon Repair,Hallux Valgus Set,2026-05-04T21:07:18.242404
8607,Ms Wood,Orthopaedics,Trauma,Extra Large,Stryker,True,5,"Bryant, Payne and Fowler",Distal Radius ORIF,Conmed Small Joint Set,2026-05-04T21:07:18.242404
9072,Mrs Price,Orthopaedics,Joints,Small,Smith & Nephew,False,25,Anderson-Delgado,Total Knee Replacement,Norfolk and Norwich Retractors,2026-05-04T21:07:18.242404
5017,Mr Rodriguez,Orthopaedics,Paediatric,Medium,Zimmer Biomet,True,24,Howard-Gordon,Blount’s Disease Correction,Titanium Elastic Nails,2026-05-04T21:07:18.242404
7655,Ms Nielsen,Orthopaedics,Paediatric,Large,Arthrex V300,True,13,Miller-Ellis,Blount’s Disease Correction,Pfizer Mini Hip Kit,2026-05-04T21:07:18.242404
5017,Mr Rodriguez,Orthopaedics,Paediatric,Medium,Zimmer Biomet,True,24,Howard-Gordon,Paediatric Fracture Fixation,Paediatric Orthopaedic Set,2026-05-04T21:07:18.242404
7186,Ms Scott,Orthopaedics,Joints,Small,Smith & Nephew,True,23,Peterson-Marsh,Unicompartmental Knee Replacement,J&J PFC Knee Retractors,2026-05-04T21:07:18.242404
5697,Miss Goodwin,Orthopaedics,Trauma,Large,Smith & Nephew,True,11,Suarez and Sons,Tibial Plateau Fracture Fixation,AO Synthes Chisel Set,2026-05-04T21:07:18.242404
4840,Mr Sullivan,Orthopaedics,Foot and Ankle,Small,Stryker,True,22,Fowler PLC,Lateral Ligament Reconstruction,DePuy Synthes Foot Plates,2026-05-04T21:07:18.242404
8086,Mrs Ali,Orthopaedics,Foot and Ankle,Extra Large,Zimmer Biomet,False,24,Martinez-Brown,Hallux Valgus Correction,Small Bone Fixation Set,2026-05-04T21:07:18.242404
6739,Mr Lopez,Orthopaedics,Trauma,Large,Depuy Synthes,True,11,Dalton-Carter,TMTJ Fusion,Mr. Mask Foot Instruments,2026-05-04T21:07:18.242404
4840,Mr Sullivan,Orthopaedics,Foot and Ankle,Small,Stryker,True,22,Fowler PLC,Triple Arthrodesis,Achilles Tendon Repair Kit,2026-05-04T21:07:18.242404
9374,Miss Gutierrez,Orthopaedics,Trauma,Medium,Arthrex V300,True,7,French and Sons,TMTJ Fusion,Mr. Mask Foot Instruments,2026-05-04T21:07:18.242404
