surgeon_id,surgeon_name,speciality,subspecialty,preferred_retractor_size,preferred_drill_brand,needs_backup_suction,years_of_experience,hospital_affiliation,procedure,instrument,generation_timestamp
ID-4929,yr Gutierrez,OT,Joints,Medium,SMITH & NEPHEW,N,19,,  Total Hip Arthroplasty ,JOXNT RETRACTOR,2026-05-09T14:10:58.790275
,MR HOLDEN,,Foot and Ankle   ,,Smith & Nephew   ,No,N/A,   ,Arthroxesis,power drill,2026-05-09T14:10:58.790284
UNKNOWN,MRyPARKER,OT,Trauma,XL,Smith & Nephew,,33,,Joint Replacement,Screwdriver,2026-05-09T14:10:58.790290
ID-4680,Ms yorris,OT,TRAUMA,MEDIYM,Depuy Synthes,Y,N/A,Private Clinic,Total Knee Arthroplasty,oscillating saw,2026-05-09T14:10:58.790296
UNKNOWN,Miss Graham,Ortho ,Joints,Large,Zimmer Biomet,0,9,,  Hip Replacement ,Oscillating Saw,2026-05-09T14:10:58.790302
ID-4680,Ms yorris,OT,TRAUMA,MEDIYM,Depuy Synthes,Y,N/A,Private Clinic,Shoulder Arthroscopy   ,bone cement gun,2026-05-09T14:10:58.790309
4673,Dx Smith   ,Ortho   ,SPINE,Small,stryker   ,1,,Private Clinic,KNEE REPLACEMENT,Bone Rasp,2026-05-09T14:10:58.790314
UNKNOWN,MS MANN,orthopaedick,Tryuma,xmall,Arthrex V300,FALSE,,NHS Trust,total hip arthroplasty,Bone Saw,INVALID_DATE
6967,MRS zurphy,Ortho   ,Trauma   ,extra large,Medtronic,No,,NHS Trust   ,Open Reduction Internxl Fixation,Drill,13/10/2023 19:41
UNKNOWN,Miss Graham,Ortho ,Joints,Large,Zimmer Biomet,0,9,,Total Knee Arthroplasty   ,Bone Cement Gun   ,2026-05-09T14:10:58.790352
ID-6000,Ms yagner,Ortho,Paedxatric,Smayl,,False,,Lynch-Jones,Hip Replacement,Joint Retractor   ,
UNKNOWN,  xr lewis ,Ortho,Paediatric,  XL ,Stryker,True,N/A,NXS TRUST,Fracture Repair,  External Fixator ,2026-05-09T14:10:58.790362
UNKNOWN,  Dr Sullivan ,ORTHOPAEDICS,  Spzne ,Medium,  Stryker ,,20,  ARROYO LLC ,Total Knee Arthroplasty,Joint Retractor,2026-05-09T14:10:58.790368
UNKNOWN,MRyPARKER,OT,Trauma,XL,Smith & Nephew,,33,,Open Reduction Internal Fixation,Bone zlate,2026-05-09T14:10:58.790375
UNKNOWN,Ms Marquez,OT   ,Paediazric   ,medium,Zimmer Biomet,TRUE,27,,Foraminotomy,Pedicle Scyew,2026-05-09T14:10:58.790383
6582,Miss Pratt,ORTHOPAEDYCK   ,Paediatric,XL,stryker,0,14,,Grxwth Plate Surgery,BONE CHISEL,2026-05-09T14:10:58.790391
,Miss Weaver,orthopaedick,Spine,Small,Smith & xephew,Y,,Perez Group,Vertebroplasty,Pedicle Screw,2026-05-09T14:10:58.790397
UNKNOWN,Ms Marquez,OT   ,Paediazric   ,medium,Zimmer Biomet,TRUE,27,,Total Hip Arthroplasty,Yone Saw,04/10/2019 21:25
,MR HOLDEN,,Foot and Ankle   ,,Smith & Nephew   ,No,N/A,   ,Achilles Repair,small bone nibbler,2026-05-09T14:10:58.790429
,mr hartman,,SPINE,S,STRYKER,FALSE,,,Hip Replacement,Bone Cement Gun,
ID-8041,Mr Miller,orthopaedick,Foot and Ankle,Medium,strykyr,1,18,yrivate Clinic,Flatfoot Correction,west self zetaining retractor,2026-05-09T14:10:58.790442
ID-4929,yr Gutierrez,OT,Joints,Medium,SMITH & NEPHEW,N,19,,  Hip Replacement ,Oscillating Saw,2026-05-09T14:10:58.790449
4598,Ms Mccullzugh,  Ortho ,Foot and Ankle,Extra Large,ARTHREX V300,true,N/A,Mcintyre-Thomas,Arthrodesis,West Self Retaining Retractor   ,2026-05-09T14:10:58.790455
,Miss Weaver,orthopaedick,Spine,Small,Smith & xephew,Y,,Perez Group,Knee Replazement,Bone Rasp,2026-05-09T14:10:58.790463
4673,Dx Smith   ,Ortho   ,SPINE,Small,stryker   ,1,,Private Clinic,  TOTAL KNEE ARTHROPLASTY ,Joint Retractor,2026-05-09T14:10:58.790470
ID-4680,Ms yorris,OT,TRAUMA,MEDIYM,Depuy Synthes,Y,N/A,Private Clinic,Foraminotomy,RONGEUR,2026-05-09T14:10:58.790476
UNKNOWN,Miss Graham,Ortho ,Joints,Large,Zimmer Biomet,0,9,,  Shoulder Arthroscopy ,Bone Rasp,04/12/1995 13:12
ID-4680,Ms yorris,OT,TRAUMA,MEDIYM,Depuy Synthes,Y,N/A,Private Clinic,  Hip Replacement ,JOINT RETRACTOR,2026-05-09T14:10:58.790511
6967,MRS zurphy,Ortho   ,Trauma   ,extra large,Medtronic,No,,NHS Trust   ,Total Hip Arthroplasty,Joint Retractor,2026-05-09T14:10:58.790519
UNKNOWN,  Dr Sullivan ,ORTHOPAEDICS,  Spzne ,Medium,  Stryker ,,20,  ARROYO LLC ,Shoulder Arthroscopy   ,JOINT RETRACTOR,2026-05-09T14:10:58.790526
ID-6977,Mr Munoz,ORTHOPAEDICS,Paediatric,,Smith & Nephew   ,true,N/A,,Fracture Repair,External Fixator,2026-05-09T14:10:58.790530
ID-8041,Mr Miller,orthopaedick,Foot and Ankle,Medium,strykyr,1,18,yrivate Clinic,Bunion Removal,mallet,2026-05-09T14:10:58.790535
ID-4929,yr Gutierrez,OT,Joints,Medium,SMITH & NEPHEW,N,19,,Total Hip Arthroplasty,Oscillating Saw,2026-05-09T14:10:58.790540
,Miss Weaver,orthopaedick,Spine,Small,Smith & xephew,Y,,Perez Group,Laminecyomy,Spinal Distractor,
ID-3060,MRS Shelton,Ortho ,Joints,  XL ,,false,15,Private Clinic,Total Hip Arthroplasty,Bone Cement Gun,2026-05-09T14:10:58.790550
,MR HOLDEN,,Foot and Ankle   ,,Smith & Nephew   ,No,N/A,   ,ACHILLES REPAIR,small bone nibbler,2026-05-09T14:10:58.790557
ID-6000,Ms yagner,Ortho,Paedxatric,Smayl,,False,,Lynch-Jones,Total Hip Arthroplasty,Bone Saw,2026-05-09T14:10:58.790561
ID-3060,MRS Shelton,Ortho ,Joints,  XL ,,false,15,Private Clinic,shoulder arthroscopy,Joint Retractor,2026-05-09T14:10:58.790567
UNKNOWN,MRyPARKER,OT,Trauma,XL,Smith & Nephew,,33,,  Joint Rzplacement ,Scxewdriver,30/03/1984 19:19
ID-4929,yr Gutierrez,OT,Joints,Medium,SMITH & NEPHEW,N,19,,total knee arthroplasty,Bone Saw,
,mr Mozeno,Ot,Joints,Extra Large,  yrthrex V300 ,Y,,,Fracture Fixation,Bone Plate,2026-05-09T14:10:58.790610
ID-4929,yr Gutierrez,OT,Joints,Medium,SMITH & NEPHEW,N,19,,Total Knee Arthroplasty,Oscillating Saw,
ID-6000,Ms yagner,Ortho,Paedxatric,Smayl,,False,,Lynch-Jones,Total Hip Arthroplasty,Joint Retractor   ,24/04/1972 14:38
ID-3060,MRS Shelton,Ortho ,Joints,  XL ,,false,15,Private Clinic,Hip Rexlacement,Bone Cement Gun   ,INVALID_DATE
UNKNOWN,  Dr Sullivan ,ORTHOPAEDICS,  Spzne ,Medium,  Stryker ,,20,  ARROYO LLC ,Hip Replacement,Bone Cement Gun,2026-05-09T14:10:58.790651
4673,Dx Smith   ,Ortho   ,SPINE,Small,stryker   ,1,,Private Clinic,Achilles Repair,mallet,2026-05-09T14:10:58.790658
,mr hartman,,SPINE,S,STRYKER,FALSE,,,Shoulder Arthroscoxy,oscillating saw,2026-05-09T14:10:58.790670
4673,Dx Smith   ,Ortho   ,SPINE,Small,stryker   ,1,,Private Clinic,Flatfoot Correction,screw driver,INVALID_DATE
1128,MszPerez,OT,  Foot and Ankle ,Laxge,  STRYKER ,0,10,,ankle reconstruction,mallet   ,03/05/1993 09:10
,Miss Anderson,Orxho,PAEDIATRIC,medium,STRYKER,,,Berger-Wilson,Open Reduction Internal Fixation,Screwdriver,2026-05-09T14:10:58.790709
ID-9423,Miss Baker   ,,Spine,Extra Large   ,  Depuy Synthys ,Y,,SANCHEZ GROUP,Vertebroplasty,Pedicle Screw,2026-05-09T14:10:58.790715
UNKNOWN,MS MANN,orthopaedick,Tryuma,xmall,Arthrex V300,FALSE,,NHS Trust,Shouldzr Arthroscopy   ,  Bone Rasp ,17/06/2022 16:58
,mr Velxsquez,OT,Spine,Extra Large,Medtronic,1,N/A,Private Clinic,laminectomy,Spinal Distractor   ,2026-05-09T14:10:58.790753
,Miss Weaver,orthopaedick,Spine,Small,Smith & xephew,Y,,Perez Group,Diskectomy,Elevator   ,2026-05-09T14:10:58.790760
,Miss Anderson,Orxho,PAEDIATRIC,medium,STRYKER,,,Berger-Wilson,Knee Replacement,  Bone Rasp ,2026-05-09T14:10:58.790765
ID-8041,Mr Miller,orthopaedick,Foot and Ankle,Medium,strykyr,1,18,yrivate Clinic,Ankle Reconstruction,SCREW DRIVER,INVALID_DATE
UNKNOWN,Ms Marquez,OT   ,Paediazric   ,medium,Zimmer Biomet,TRUE,27,,  Knee Replacement ,Bone Rasp   ,2026-05-09T14:10:58.790780
UNKNOWN,Miss Graham,Ortho ,Joints,Large,Zimmer Biomet,0,9,,SHOULDER ARTHROSCOPY,Bone Saw,2026-05-09T14:10:58.790788
UNKNOWN,MS MANN,orthopaedick,Tryuma,xmall,Arthrex V300,FALSE,,NHS Trust,Shoulder Arthroscopy,Bone Cement Gun,2026-05-09T14:10:58.790793
ID-6000,Ms yagner,Ortho,Paedxatric,Smayl,,False,,Lynch-Jones,SHOULDER ARTHROSCOPY,Bone Saw,2026-05-09T14:10:58.790798
ID-4680,Ms yorris,OT,TRAUMA,MEDIYM,Depuy Synthes,Y,N/A,Private Clinic,Hip Replacement,Bone Cement Gun,2026-05-09T14:10:58.790803
6967,MRS zurphy,Ortho   ,Trauma   ,extra large,Medtronic,No,,NHS Trust   ,Flatfoot Correctizn,West self retaining retractor,2026-05-09T14:10:58.790812
ID-2713,  Miss Gardner ,ORTHOPAEDICS,Spine,Xl,STRYKER,Y,,Private Clinic,External Fixation,Drill   ,INVALID_DATE
UNKNOWN,MRyPARKER,OT,Trauma,XL,Smith & Nephew,,33,,Bone Graftizg,INTZAMEDULLARY NAIL,2026-05-09T14:10:58.790826
4598,Ms Mccullzugh,  Ortho ,Foot and Ankle,Extra Large,ARTHREX V300,true,N/A,Mcintyre-Thomas,Flatfoot Correction,small bone nibbler,
ID-4680,Ms yorris,OT,TRAUMA,MEDIYM,Depuy Synthes,Y,N/A,Private Clinic,zotal knee arthroplasty,Bone Cement Gun   ,25/06/1997 10:32
UNKNOWN,  xr lewis ,Ortho,Paediatric,  XL ,Stryker,True,N/A,NXS TRUST,LIMB LENGTHENING,Kirschner Wire   ,2026-05-09T14:10:58.790867
,mr Owens,OT,Spine,,stryker,true,3,NHS Trust   ,Vertebroplasty,Elevator,2026-05-09T14:10:58.790874
ID-2713,  Miss Gardner ,ORTHOPAEDICS,Spine,Xl,STRYKER,Y,,Private Clinic,  Foraminotomy ,Pedicle Screw,
1128,MszPerez,OT,  Foot and Ankle ,Laxge,  STRYKER ,0,10,,Flatfoot Correction,screw drizer,
1128,MszPerez,OT,  Foot and Ankle ,Laxge,  STRYKER ,0,10,,OPEN REDUCTION INTERNAL FIXATION,  Screwdriver ,2026-05-09T14:10:58.790891
ID-5506,MZ PERKINS,Ortho ,Joints,LARGE,Medtronic,False,6,,Bunion Removal,West self retaining retractor   ,2026-05-09T14:10:58.790897
ID-9423,Miss Baker   ,,Spine,Extra Large   ,  Depuy Synthys ,Y,,SANCHEZ GROUP,  Spinyl Fusion ,Curette,2026-05-09T14:10:58.790905
6582,Miss Pratt,ORTHOPAEDYCK   ,Paediatric,XL,stryker,0,14,,Hip Replacement,Bone Rasp,2026-05-09T14:10:58.790910
6582,Miss Pratt,ORTHOPAEDYCK   ,Paediatric,XL,stryker,0,14,,Foraminotomy,Curette,2026-05-09T14:10:58.790916
ID-4680,Ms yorris,OT,TRAUMA,MEDIYM,Depuy Synthes,Y,N/A,Private Clinic,Total Knee Arthroplasty   ,Oscillating Saw,2026-05-09T14:10:58.790921
ID-8041,Mr Miller,orthopaedick,Foot and Ankle,Medium,strykyr,1,18,yrivate Clinic,Bunion Removal,  screx driver ,2026-05-09T14:10:58.790930
,Miss Weaver,orthopaedick,Spine,Small,Smith & xephew,Y,,Perez Group,Foraminotomy,Pedicle Screw,
,mr Owens,OT,Spine,,stryker,true,3,NHS Trust   ,ziskectomy,Curette,23/08/1986 09:30
UNKNOWN,  Dr Sullivan ,ORTHOPAEDICS,  Spzne ,Medium,  Stryker ,,20,  ARROYO LLC ,Total Hip Arthroplasty,Oscillating Saw,2026-05-09T14:10:58.790963
ID-5506,MZ PERKINS,Ortho ,Joints,LARGE,Medtronic,False,6,,Shoulder Arthroscopy   ,Oscillating Saw,
UNKNOWN,MRyPARKER,OT,Trauma,XL,Smith & Nephew,,33,,zone grafting,Intramedullary Nail,2026-05-09T14:10:58.790975
UNKNOWN,Ms Marquez,OT   ,Paediazric   ,medium,Zimmer Biomet,TRUE,27,,Total Knee Arthroplasty,Bone Saw,INVALID_DATE
UNKNOWN,  xr lewis ,Ortho,Paediatric,  XL ,Stryker,True,N/A,NXS TRUST,Clubfoot Correction,Kirschner Wire,2026-05-09T14:10:58.790988
6582,Miss Pratt,ORTHOPAEDYCK   ,Paediatric,XL,stryker,0,14,,Growth Plate Surgery,External Fzxator,2026-05-09T14:10:58.790997
UNKNOWN,MS MANN,orthopaedick,Tryuma,xmall,Arthrex V300,FALSE,,NHS Trust,hip replacement,Oscillating Saw,2026-05-09T14:10:58.791003
ID-9423,Miss Baker   ,,Spine,Extra Large   ,  Depuy Synthys ,Y,,SANCHEZ GROUP,vertebroplasty,  Rongeur ,2026-05-09T14:10:58.791012
4673,Dx Smith   ,Ortho   ,SPINE,Small,stryker   ,1,,Private Clinic,TOTAL KNEE ARTHROPLASTY,Oscillating Saw,21/11/2020 10:47
UNKNOWN,Ms Marquez,OT   ,Paediazric   ,medium,Zimmer Biomet,TRUE,27,,TOTAL KNEE ARTHROPLASTY,Bone Rasp,27/10/1971 11:01
UNKNOWN,MRyPARKER,OT,Trauma,XL,Smith & Nephew,,33,,Joint Replacement,bone plate,2026-05-09T14:10:58.791069
,mr Owens,OT,Spine,,stryker,true,3,NHS Trust   ,Spinal Fusion,ELEVATOR,2026-05-09T14:10:58.791075
,Dr Garcia,  ORTHOPAEDICS ,Paediatric,Extra Large,Depuy Synthes,1,N/A,NHS Trust,Limb Lengthyning,External Fixator   ,2026-05-09T14:10:58.791083
UNKNOWN,Miss Graham,Ortho ,Joints,Large,Zimmer Biomet,0,9,,Hip Replacement,Joint Retractor,2026-05-09T14:10:58.791089
ID-6977,Mr Munoz,ORTHOPAEDICS,Paediatric,,Smith & Nephew   ,true,N/A,,Growth Plate Surgery,Kirschner Wire,
UNKNOWN,Ms Marquez,OT   ,Paediazric   ,medium,Zimmer Biomet,TRUE,27,,Shoulder Arthroscopy,Joint Retractor,2026-05-09T14:10:58.791097
UNKNOWN,Miss Graham,Ortho ,Joints,Large,Zimmer Biomet,0,9,,Shoulder Arthroscopy   ,Joint Retractxr   ,2026-05-09T14:10:58.791103
ID-4929,yr Gutierrez,OT,Joints,Medium,SMITH & NEPHEW,N,19,,Shoulder Aryhroscopy,Oscillatiny Saw,INVALID_DATE
UNKNOWN,  Dr Sullivan ,ORTHOPAEDICS,  Spzne ,Medium,  Stryker ,,20,  ARROYO LLC ,Clubfooz Correction   ,  Growth Rod ,2026-05-09T14:10:58.791122
ID-6000,Ms yagner,Ortho,Paedxatric,Smayl,,False,,Lynch-Jones,Shouzder Arthroscopy   ,bone saw,2026-05-09T14:10:58.791130
,MR HOLDEN,,Foot and Ankle   ,,Smith & Nephew   ,No,N/A,   ,Ankxe Reconstruction,screw driver,2026-05-09T14:10:58.791137
6582,Miss Pratt,ORTHOPAEDYCK   ,Paediatric,XL,stryker,0,14,,Limb Lengthening   ,  Kirschner Wire ,2026-05-09T14:10:58.791142
UNKNOWN,MS MANN,orthopaedick,Tryuma,xmall,Arthrex V300,FALSE,,NHS Trust,Knee Replacement   ,Bone Saw   ,2026-05-09T14:10:58.791147
,mr Owens,OT,Spine,,stryker,true,3,NHS Trust   ,  Lxminectomy ,Curette,
,Dr Garcia,  ORTHOPAEDICS ,Paediatric,Extra Large,Depuy Synthes,1,N/A,NHS Trust,Scoliosis Surgery,pediatric drill,2026-05-09T14:10:58.791158
4598,Ms Mccullzugh,  Ortho ,Foot and Ankle,Extra Large,ARTHREX V300,true,N/A,Mcintyre-Thomas,  Flatfoot Correction ,Screw Drizer,2026-05-09T14:10:58.791166
ID-2713,  Miss Gardner ,ORTHOPAEDICS,Spine,Xl,STRYKER,Y,,Private Clinic,Fracture Repair,Pediatric Drill,2026-05-09T14:10:58.791172
ID-6000,Ms yagner,Ortho,Paedxatric,Smayl,,False,,Lynch-Jones,Shoulder Arthroscopy,Bone Saw   ,15/12/1978 03:25
ID-9423,Miss Baker   ,,Spine,Extra Large   ,  Depuy Synthys ,Y,,SANCHEZ GROUP,Laminectomy   ,xedicle screw,05/03/1987 02:01
,mr Mozeno,Ot,Joints,Extra Large,  yrthrex V300 ,Y,,,Knee Replacement,Joint Retractor,2026-05-09T14:10:58.791235
UNKNOWN,  Dr Sullivan ,ORTHOPAEDICS,  Spzne ,Medium,  Stryker ,,20,  ARROYO LLC ,Knee Replacezent,Bone Saw,INVALID_DATE
UNKNOWN,Ms Marquez,OT   ,Paediazric   ,medium,Zimmer Biomet,TRUE,27,,Bone Grafting,Screwdriver,2026-05-09T14:10:58.791247
9617,MRx Garner,,Joints,Large,,True,,ATKINSON-HARRIS   ,Knee Replacement,Bone Saw,2026-05-09T14:10:58.791255
UNKNOWN,MS MANN,orthopaedick,Tryuma,xmall,Arthrex V300,FALSE,,NHS Trust,knee replacement   ,Bone Rasp,2026-05-09T14:10:58.791261
ID-4929,yr Gutierrez,OT,Joints,Medium,SMITH & NEPHEW,N,19,,Knee Replacement,Oscillating Saw,2026-05-09T14:10:58.791266
UNKNOWN,Ms Marquez,OT   ,Paediazric   ,medium,Zimmer Biomet,TRUE,27,,  Knee Replacement ,Joint Retractor,2026-05-09T14:10:58.791272
1128,MszPerez,OT,  Foot and Ankle ,Laxge,  STRYKER ,0,10,,Bunion Remyval,West self retaining retractor   ,
ID-8041,Mr Miller,orthopaedick,Foot and Ankle,Medium,strykyr,1,18,yrivate Clinic,Ankle Reconsyruction,  West self retaining retractor ,2026-05-09T14:10:58.791288
,yr Schneider,ozthopaedick,  Joints ,Large,  STRYKER ,FALSE,,,Knee Replacement,Bone Saw,16/09/1975 10:04
ID-6977,Mr Munoz,ORTHOPAEDICS,Paediatric,,Smith & Nephew   ,true,N/A,,Fracturx Repair,Bone Chisel,2026-05-09T14:10:58.791323
UNKNOWN,Ms Marquez,OT   ,Paediazric   ,medium,Zimmer Biomet,TRUE,27,,Knee Replacement,  Joint Retractor ,31/01/1998 00:42
UNKNOWN,  xr lewis ,Ortho,Paediatric,  XL ,Stryker,True,N/A,NXS TRUST,Limb Lengthening,Growth Rod,2026-05-09T14:10:58.791352
,mr hartman,,SPINE,S,STRYKER,FALSE,,,Shoulder Azthroscopy,Bone Cezent Gun,2026-05-09T14:10:58.791364
UNKNOWN,MS MANN,orthopaedick,Tryuma,xmall,Arthrex V300,FALSE,,NHS Trust,Knee Replacement,Joint Retractor,24/01/2014 19:34
,Miss Weaver,orthopaedick,Spine,Small,Smith & xephew,Y,,Perez Group,Diskectomy,Elevator   ,2026-05-09T14:10:58.791395
4673,Dx Smith   ,Ortho   ,SPINE,Small,stryker   ,1,,Private Clinic,hip replacement   ,Oscillating Saw   ,INVALID_DATE
ID-3060,MRS Shelton,Ortho ,Joints,  XL ,,false,15,Private Clinic,Hip Replacement,Bone Saw,27/11/1973 03:46
ID-8041,Mr Miller,orthopaedick,Foot and Ankle,Medium,strykyr,1,18,yrivate Clinic,Ankle Reconstruction,Screw Driver,2026-05-09T14:10:58.791434
,Miss Weaver,orthopaedick,Spine,Small,Smith & xephew,Y,,Perez Group,Vertebroplasty   ,Elevator,12/06/2019 11:02
6582,Miss Pratt,ORTHOPAEDYCK   ,Paediatric,XL,stryker,0,14,,Limb Lengthening,pediatric drill,09/10/2005 11:39
ID-6977,Mr Munoz,ORTHOPAEDICS,Paediatric,,Smith & Nephew   ,true,N/A,,Fracture Repair,Growth Rod,19/01/2024 20:33
UNKNOWN,Ms Marquez,OT   ,Paediazric   ,medium,Zimmer Biomet,TRUE,27,,Hip Replacement,Bone Rasp,2026-05-09T14:10:58.791512
UNKNOWN,Ms Marquez,OT   ,Paediazric   ,medium,Zimmer Biomet,TRUE,27,,SHOULDERXARTHROSCOPY,Oscillating Saw,28/02/1988 10:43
6582,Miss Pratt,ORTHOPAEDYCK   ,Paediatric,XL,stryker,0,14,,Growth Plate Surgery,EXTERNAL FIXATOR,2026-05-09T14:10:58.791547
,mr Mozeno,Ot,Joints,Extra Large,  yrthrex V300 ,Y,,,  Shoulder Arthroscopy ,  bone rasp ,2026-05-09T14:10:58.791554
UNKNOWN,  Dr Sullivan ,ORTHOPAEDICS,  Spzne ,Medium,  Stryker ,,20,  ARROYO LLC ,Bone Grafting   ,Screwdriver   ,13/04/1996 22:42
ID-6977,Mr Munoz,ORTHOPAEDICS,Paediatric,,Smith & Nephew   ,true,N/A,,Scoliosis Surgery,Pediatric Drill   ,10/10/1970 13:40
,MR HOLDEN,,Foot and Ankle   ,,Smith & Nephew   ,No,N/A,   ,Arthrodesis,West self retaining retractor,2026-05-09T14:10:58.791608
ID-6977,Mr Munoz,ORTHOPAEDICS,Paediatric,,Smith & Nephew   ,true,N/A,,Fracture Repazr,External Fixator   ,07/06/1995 11:27
ID-9423,Miss Baker   ,,Spine,Extra Large   ,  Depuy Synthys ,Y,,SANCHEZ GROUP,SpinalxFusion,Spinal Distractor,INVALID_DATE
ID-4680,Ms yorris,OT,TRAUMA,MEDIYM,Depuy Synthes,Y,N/A,Private Clinic,Total Hip Arthroplasty,Bone Saw,2026-05-09T14:10:58.791646
,Miss Weaver,orthopaedick,Spine,Small,Smith & xephew,Y,,Perez Group,  Laminectomy ,Elevator,2026-05-09T14:10:58.791653
ID-9423,Miss Baker   ,,Spine,Extra Large   ,  Depuy Synthys ,Y,,SANCHEZ GROUP,Spinal Fusion,Curette,2026-05-09T14:10:58.791658
ID-5506,MZ PERKINS,Ortho ,Joints,LARGE,Medtronic,False,6,,Shoulder Arthroscopy,Bone Saw,2026-05-09T14:10:58.791663
UNKNOWN,MRyPARKER,OT,Trauma,XL,Smith & Nephew,,33,,Fractuye Fixation,  Bone Plate ,2026-05-09T14:10:58.791670
ID-6977,Mr Munoz,ORTHOPAEDICS,Paediatric,,Smith & Nephew   ,true,N/A,,Scolioxis Surgery,Kirschner Wire,2026-05-09T14:10:58.791676
ID-5506,MZ PERKINS,Ortho ,Joints,LARGE,Medtronic,False,6,,total knee arthroplasty,Bone Cement Gun,INVALID_DATE
ID-5506,MZ PERKINS,Ortho ,Joints,LARGE,Medtronic,False,6,,Hip Replacement,Oscillating Saw,INVALID_DATE
,mr Owens,OT,Spine,,stryker,true,3,NHS Trust   ,LAMINECTOMY,Pedicle Screw,2026-05-09T14:10:58.791691
ID-6977,Mr Munoz,ORTHOPAEDICS,Paediatric,,Smith & Nephew   ,true,N/A,,Fracture Repair,External Fixator   ,2026-05-09T14:10:58.791698
ID-4929,yr Gutierrez,OT,Joints,Medium,SMITH & NEPHEW,N,19,,SHOULDER ARTHROSCOPY,Bone Cement Gun,2026-05-09T14:10:58.791707
ID-3060,MRS Shelton,Ortho ,Joints,  XL ,,false,15,Private Clinic,Hip Replacement,  Bone Rasp ,2026-05-09T14:10:58.791712
