lot_id,item_id,canonical_name,item_type,catalogue_number,barcode_gtin,unit_of_measure,location_id,location_name,batch_number,serial_number,expiry_date,recall_status,sterility_status,quantity_on_hand,quantity_reserved,unit_cost_gbp,last_counted_at,source_system
LOT-INST-LARGE_ORTHOPAEDIC_SET-01,INV-INST-LARGE_ORTHOPAEDIC_SET,Large Orthopaedic Set,instrument,INS-455066,05014627048281,tray,LOC-STOCK-01,Main Theatre Sterile Store,B948799,S8033690,,clear,sterile,2,2,3122.7,2026-07-08T00:00:00+00:00,Manual Theatre Stocktake
LOT-INST-MEDACTA_SHOULDER_SYSTEM_MSS-01,INV-INST-MEDACTA_SHOULDER_SYSTEM_MSS,Medacta Shoulder System (MSS),instrument,INS-978068,05089325288095,tray,LOC-STOCK-04,Trauma Emergency Cupboard,B726822,S1816653,,clear,sterile,1,0,3027.03,2026-06-26T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-INST-MICRO_DISCECTOMY_CURETTES_SET-01,INV-INST-MICRO_DISCECTOMY_CURETTES_SET,Micro-discectomy Curettes Set,instrument,INS-738778,05001543039117,tray,LOC-STOCK-02,Orthopaedic Implant Store,B628373,S5853035,,clear,awaiting_sterilisation,1,0,3309.2,2026-06-20T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-INST-MINOR_HAND_INSTRUMENT_SET-01,INV-INST-MINOR_HAND_INSTRUMENT_SET,Minor Hand Instrument Set,instrument,INS-345214,05082278248963,tray,LOC-STOCK-02,Orthopaedic Implant Store,B416422,S3403511,,clear,awaiting_sterilisation,6,5,2204.69,2026-06-25T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-INST-SMALL_BONE_SET-01,INV-INST-SMALL_BONE_SET,Small Bone Set,instrument,INS-130616,05046578713315,tray,LOC-STOCK-02,Orthopaedic Implant Store,B756401,S8167236,,clear,sterile,10,4,2108.58,2026-06-27T00:00:00+00:00,ERP Materials Management
LOT-INST-SMALL_JOINT_ARTHROSCOPY_SET-01,INV-INST-SMALL_JOINT_ARTHROSCOPY_SET,Small Joint Arthroscopy Set,instrument,INS-702882,05098393010310,tray,LOC-STOCK-04,Trauma Emergency Cupboard,B528090,S3503456,,clear,in_use,6,2,1661.73,2026-06-21T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-INST-SMITH_NEPHEW_R3_ACETABULAR_SYS-01,INV-INST-SMITH_NEPHEW_R3_ACETABULAR_SYS,Smith & Nephew R3 Acetabular System,instrument,INS-804054,05051834738299,tray,LOC-STOCK-04,Trauma Emergency Cupboard,B160423,S7923579,,clear,sterile,3,3,2339.83,2026-07-04T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-INST-SPLASH_BOWL-01,INV-INST-SPLASH_BOWL,Splash Bowl,instrument,INS-265939,05037631165667,tray,LOC-STOCK-04,Trauma Emergency Cupboard,B988283,S7225647,,clear,in_use,2,0,2258.63,2026-07-02T00:00:00+00:00,Manual Theatre Stocktake
LOT-INST-SYNTHES_LARGE_FRAGMENT_SET-01,INV-INST-SYNTHES_LARGE_FRAGMENT_SET,Synthes Large Fragment Set,instrument,INS-636208,05001065133387,tray,LOC-STOCK-01,Main Theatre Sterile Store,B176319,S4156856,,clear,in_use,10,4,2966.14,2026-06-21T00:00:00+00:00,Manual Theatre Stocktake
LOT-INST-SYNTHES_SMALL_FRAGMENT_SET-01,INV-INST-SYNTHES_SMALL_FRAGMENT_SET,Synthes Small Fragment Set,instrument,INS-698409,05026247317810,tray,LOC-STOCK-03,Day Surgery Store,B116078,S4553544,,clear,sterile,6,1,3857.79,2026-07-05T00:00:00+00:00,ERP Materials Management
LOT-INST-ZIMMER_BIOMET_COMPREHENSIVE_SH-01,INV-INST-ZIMMER_BIOMET_COMPREHENSIVE_SH,Zimmer Biomet Comprehensive Shoulder System,instrument,INS-746080,05080132677360,tray,LOC-STOCK-02,Orthopaedic Implant Store,B515898,S5015307,,clear,in_use,10,4,1456.06,2026-06-29T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-EQUI-ARTHREX_SYNERGY_UHD4_IMAGING_C-01,INV-EQUI-ARTHREX_SYNERGY_UHD4_IMAGING_C,Arthrex Synergy UHD4 Imaging Console,equipment,EQU-843844,05026064746872,device,LOC-STOCK-03,Day Surgery Store,B477114,S9603633,,clear,awaiting_sterilisation,3,3,6019.25,2026-06-23T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-EQUI-ARTHROSCOPY_STACK_SYSTEM_WITH_-01,INV-EQUI-ARTHROSCOPY_STACK_SYSTEM_WITH_,Arthroscopy stack system with HD camera,equipment,EQU-721574,05043098050097,device,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B332022,S3448176,,clear,in_use,1,0,3720.67,2026-06-20T00:00:00+00:00,ERP Materials Management
LOT-EQUI-C_ARM_IMAGE_INTENSIFIER-01,INV-EQUI-C_ARM_IMAGE_INTENSIFIER,C-Arm Image Intensifier,equipment,EQU-969500,05008121913619,device,LOC-STOCK-03,Day Surgery Store,B341192,S7372653,,clear,in_use,2,2,10133.66,2026-06-23T00:00:00+00:00,ERP Materials Management
LOT-EQUI-CEMENT_VACUUM_FOOT_PUMP-01,INV-EQUI-CEMENT_VACUUM_FOOT_PUMP,Cement Vacuum Foot Pump,equipment,EQU-624991,05099091699854,device,LOC-STOCK-04,Trauma Emergency Cupboard,B583214,S3822492,,clear,awaiting_sterilisation,4,2,2695.78,2026-06-21T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-EQUI-CEMENT_VACUUM_FOOTPUMP-01,INV-EQUI-CEMENT_VACUUM_FOOTPUMP,Cement Vacuum Footpump,equipment,EQU-850094,05053462475107,device,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B135466,S2247057,,quarantined,awaiting_sterilisation,0,0,9360.6,2026-06-25T00:00:00+00:00,Manual Theatre Stocktake
LOT-EQUI-DIATHERMY_MACHINE-01,INV-EQUI-DIATHERMY_MACHINE,Diathermy Machine,equipment,EQU-431764,05018384251354,device,LOC-STOCK-01,Main Theatre Sterile Store,B329344,S9484790,,clear,awaiting_sterilisation,2,1,4979.85,2026-06-19T00:00:00+00:00,ERP Materials Management
LOT-EQUI-JACKSON_SPINAL_SURGERY_TABLE-01,INV-EQUI-JACKSON_SPINAL_SURGERY_TABLE,Jackson Spinal Surgery Table,equipment,EQU-118965,05078498084124,device,LOC-STOCK-01,Main Theatre Sterile Store,B106933,S9929043,,clear,awaiting_sterilisation,4,4,5406.99,2026-07-08T00:00:00+00:00,ERP Materials Management
LOT-EQUI-MIDAS_REX_SPINE_SHAVER_DRILL-01,INV-EQUI-MIDAS_REX_SPINE_SHAVER_DRILL,Midas Rex Spine Shaver / Drill,equipment,EQU-194607,05011824493534,device,LOC-STOCK-01,Main Theatre Sterile Store,B626611,S8223819,,clear,in_use,3,1,1998.58,2026-07-05T00:00:00+00:00,ERP Materials Management
LOT-EQUI-STANDARD_DIATHERMY_MACHINE-01,INV-EQUI-STANDARD_DIATHERMY_MACHINE,Standard Diathermy Machine,equipment,EQU-394875,05040164005242,device,LOC-STOCK-03,Day Surgery Store,B380310,S7658817,,clear,sterile,3,0,4978.18,2026-06-26T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-EQUI-STRYKER_SMARTPUMP_TOURNIQUET_S-01,INV-EQUI-STRYKER_SMARTPUMP_TOURNIQUET_S,Stryker SmartPump Tourniquet System,equipment,EQU-105135,05078680112805,device,LOC-STOCK-03,Day Surgery Store,B817269,S2352527,,quarantined,sterile,1,0,1847.21,2026-06-26T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-EQUI-STRYKER_SYSTEM_8_POWER_TOOL_KI-01,INV-EQUI-STRYKER_SYSTEM_8_POWER_TOOL_KI,Stryker System 8 Power Tool Kit,equipment,EQU-997622,05098262045053,device,LOC-STOCK-02,Orthopaedic Implant Store,B186702,S9386232,,clear,in_use,1,1,8022.96,2026-06-28T00:00:00+00:00,ERP Materials Management
LOT-EQUI-SUCTION_MACHINE-01,INV-EQUI-SUCTION_MACHINE,Suction Machine,equipment,EQU-214109,05015869232260,device,LOC-STOCK-02,Orthopaedic Implant Store,B321686,S8977571,,clear,sterile,1,1,1321.49,2026-07-06T00:00:00+00:00,ERP Materials Management
LOT-DRAP-ANKLE_ARTHROSCOPY_DRAPE_PACK-01,INV-DRAP-ANKLE_ARTHROSCOPY_DRAPE_PACK,Ankle Arthroscopy Drape Pack,drape,DRA-518422,05056342160733,pack,LOC-STOCK-02,Orthopaedic Implant Store,B991737,,2027-01-04,clear,sterile,6,2,13.14,2026-07-02T00:00:00+00:00,ERP Materials Management
LOT-DRAP-ANKLE_ARTHROSCOPY_DRAPE_PACK-02,INV-DRAP-ANKLE_ARTHROSCOPY_DRAPE_PACK,Ankle Arthroscopy Drape Pack,drape,DRA-518422,05056342160733,pack,LOC-STOCK-01,Main Theatre Sterile Store,B413814,,2026-07-15,clear,sterile,29,1,53.17,2026-06-20T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-DRAP-ANKLE_ARTHROSCOPY_DRAPE_PACK-03,INV-DRAP-ANKLE_ARTHROSCOPY_DRAPE_PACK,Ankle Arthroscopy Drape Pack,drape,DRA-518422,05056342160733,pack,LOC-STOCK-04,Trauma Emergency Cupboard,B892313,,2027-07-08,clear,sterile,25,5,22.22,2026-07-06T00:00:00+00:00,ERP Materials Management
LOT-DRAP-APPROACH_DRAPE-01,INV-DRAP-APPROACH_DRAPE,Approach Drape,drape,DRA-851239,05043303654145,pack,LOC-STOCK-01,Main Theatre Sterile Store,B457137,,2026-06-18,clear,sterile,18,4,68.14,2026-06-19T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-DRAP-APPROACH_DRAPE-02,INV-DRAP-APPROACH_DRAPE,Approach Drape,drape,DRA-851239,05043303654145,pack,LOC-STOCK-03,Day Surgery Store,B921609,,2028-06-27,clear,sterile,44,3,47.81,2026-06-27T00:00:00+00:00,ERP Materials Management
LOT-DRAP-APPROACH_DRAPE-03,INV-DRAP-APPROACH_DRAPE,Approach Drape,drape,DRA-851239,05043303654145,pack,LOC-STOCK-04,Trauma Emergency Cupboard,B189856,,2026-10-06,clear,sterile,41,4,33.56,2026-07-01T00:00:00+00:00,ERP Materials Management
LOT-DRAP-BROWN_STOCKINETTE_UNISURGE_15C-01,INV-DRAP-BROWN_STOCKINETTE_UNISURGE_15C,"Brown Stockinette (Unisurge, 15cm x 1.5m, REF: F825195)",drape,DRA-626617,05001429401965,pack,LOC-STOCK-02,Orthopaedic Implant Store,B875584,,2026-06-18,clear,sterile,28,3,35.12,2026-07-05T00:00:00+00:00,Manual Theatre Stocktake
LOT-DRAP-EXTREMITY_DRAPE-01,INV-DRAP-EXTREMITY_DRAPE,Extremity Drape,drape,DRA-783790,05098169340608,pack,LOC-STOCK-01,Main Theatre Sterile Store,B238943,,2026-08-07,clear,sterile,21,0,25.68,2026-06-24T00:00:00+00:00,ERP Materials Management
LOT-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P-01,INV-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P,Hand and Foot Aperture Drape Pack,drape,DRA-710083,05056159514846,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B197584,,2026-06-18,clear,sterile,26,4,55.66,2026-06-28T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P-02,INV-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P,Hand and Foot Aperture Drape Pack,drape,DRA-710083,05056159514846,pack,LOC-STOCK-01,Main Theatre Sterile Store,B860053,,2026-06-18,clear,sterile,28,4,78.08,2026-07-01T00:00:00+00:00,ERP Materials Management
LOT-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P-03,INV-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P,Hand and Foot Aperture Drape Pack,drape,DRA-710083,05056159514846,pack,LOC-STOCK-02,Orthopaedic Implant Store,B245584,,2027-01-04,clear,sterile,28,2,33.98,2026-06-23T00:00:00+00:00,Manual Theatre Stocktake
LOT-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P-04,INV-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P,Hand and Foot Aperture Drape Pack,drape,DRA-710083,05056159514846,pack,LOC-STOCK-04,Trauma Emergency Cupboard,B414313,,2026-06-18,clear,sterile,21,3,69.13,2026-06-27T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-DRAP-HIP_FRACTURE_DRAPE_PACK-01,INV-DRAP-HIP_FRACTURE_DRAPE_PACK,Hip Fracture Drape Pack,drape,DRA-347161,05048236629946,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B305047,,2027-07-08,clear,sterile,42,3,19.81,2026-06-29T00:00:00+00:00,Manual Theatre Stocktake
LOT-DRAP-HIP_FRACTURE_DRAPE_PACK-02,INV-DRAP-HIP_FRACTURE_DRAPE_PACK,Hip Fracture Drape Pack,drape,DRA-347161,05048236629946,pack,LOC-STOCK-04,Trauma Emergency Cupboard,B943135,,2026-10-06,clear,sterile,43,2,44.14,2026-06-25T00:00:00+00:00,ERP Materials Management
LOT-DRAP-OPTAPE_X_1_USES_2_AROUND_THE_G-01,INV-DRAP-OPTAPE_X_1_USES_2_AROUND_THE_G,Optape x 1 (uses 2 around the glove on the ankle),drape,DRA-454767,05044369957773,pack,LOC-STOCK-04,Trauma Emergency Cupboard,B429445,,2026-08-07,clear,sterile,16,1,82.41,2026-06-28T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-DRAP-OPTAPE_X_1_USES_2_AROUND_THE_G-02,INV-DRAP-OPTAPE_X_1_USES_2_AROUND_THE_G,Optape x 1 (uses 2 around the glove on the ankle),drape,DRA-454767,05044369957773,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B919959,,2027-07-08,clear,sterile,35,1,35.79,2026-06-30T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-DRAP-PLASTIC_U_DRAPE-01,INV-DRAP-PLASTIC_U_DRAPE,Plastic U drape,drape,DRA-698030,05014895134332,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B672133,,2026-06-18,clear,sterile,16,1,61.77,2026-06-21T00:00:00+00:00,Manual Theatre Stocktake
LOT-DRAP-PLASTIC_U_DRAPE-02,INV-DRAP-PLASTIC_U_DRAPE,Plastic U drape,drape,DRA-698030,05014895134332,pack,LOC-STOCK-04,Trauma Emergency Cupboard,B936433,,2027-07-08,clear,sterile,17,2,72.68,2026-07-06T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-DRAP-PLASTIC_U_DRAPE-03,INV-DRAP-PLASTIC_U_DRAPE,Plastic U drape,drape,DRA-698030,05014895134332,pack,LOC-STOCK-03,Day Surgery Store,B353777,,2027-07-08,clear,sterile,44,2,60.08,2026-06-25T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-DRAP-REINFORCED_ADHESIVE_EDGE_DRAPE-01,INV-DRAP-REINFORCED_ADHESIVE_EDGE_DRAPE,Reinforced Adhesive Edge Drape (150x240cm),drape,DRA-940301,05003791769367,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B520274,,2026-10-06,quarantined,sterile,17,4,48.98,2026-06-25T00:00:00+00:00,ERP Materials Management
LOT-DRAP-REINFORCED_ADHESIVE_EDGE_DRAPE-01,INV-DRAP-REINFORCED_ADHESIVE_EDGE_DRAPE,Reinforced Adhesive Edge Drape (150x240cm) x 2 (For the side and the extension for the bottom),drape,DRA-532869,05020163287083,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B769180,,2028-06-27,supplier_notice,sterile,38,0,19.98,2026-07-01T00:00:00+00:00,ERP Materials Management
LOT-DRAP-REINFORCED_SPLIT_SHEET_200X260-01,INV-DRAP-REINFORCED_SPLIT_SHEET_200X260,Reinforced Split Sheet (200x260cm),drape,DRA-720989,05072788957986,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B776364,,2026-07-15,clear,sterile,6,5,59.21,2026-06-28T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-DRAP-REINFORCED_SPLIT_SHEET_200X260-02,INV-DRAP-REINFORCED_SPLIT_SHEET_200X260,Reinforced Split Sheet (200x260cm),drape,DRA-720989,05072788957986,pack,LOC-STOCK-02,Orthopaedic Implant Store,B635482,,2026-06-18,clear,sterile,20,5,49.87,2026-06-20T00:00:00+00:00,ERP Materials Management
LOT-DRAP-REINFORCED_SPLIT_SHEET_200X260-03,INV-DRAP-REINFORCED_SPLIT_SHEET_200X260,Reinforced Split Sheet (200x260cm),drape,DRA-720989,05072788957986,pack,LOC-STOCK-04,Trauma Emergency Cupboard,B585556,,2027-01-04,clear,sterile,27,5,54.97,2026-06-22T00:00:00+00:00,Manual Theatre Stocktake
LOT-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC-01,INV-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC,Shoulder Arthroscopy Drape Pack,drape,DRA-941107,05077434873471,pack,LOC-STOCK-04,Trauma Emergency Cupboard,B190025,,2026-06-18,clear,sterile,22,0,72.69,2026-07-04T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC-02,INV-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC,Shoulder Arthroscopy Drape Pack,drape,DRA-941107,05077434873471,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B606384,,2026-08-07,clear,sterile,17,2,46.76,2026-06-24T00:00:00+00:00,ERP Materials Management
LOT-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC-03,INV-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC,Shoulder Arthroscopy Drape Pack,drape,DRA-941107,05077434873471,pack,LOC-STOCK-03,Day Surgery Store,B146853,,2027-07-08,clear,sterile,8,5,20.4,2026-06-28T00:00:00+00:00,ERP Materials Management
LOT-DRAP-SHOULDER_SPLIT_SHEET_PACK-01,INV-DRAP-SHOULDER_SPLIT_SHEET_PACK,Shoulder Split Sheet Pack,drape,DRA-439863,05045581223623,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B282927,,2027-07-08,clear,sterile,19,4,23.69,2026-06-21T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-DRAP-SPINE_SURGICAL_DRAPE_PACK-01,INV-DRAP-SPINE_SURGICAL_DRAPE_PACK,Spine Surgical Drape Pack,drape,DRA-419954,05066587603669,pack,LOC-STOCK-02,Orthopaedic Implant Store,B295440,,2026-07-15,clear,sterile,44,5,59.98,2026-06-26T00:00:00+00:00,Manual Theatre Stocktake
LOT-DRAP-SPINE_SURGICAL_DRAPE_PACK-02,INV-DRAP-SPINE_SURGICAL_DRAPE_PACK,Spine Surgical Drape Pack,drape,DRA-419954,05066587603669,pack,LOC-STOCK-04,Trauma Emergency Cupboard,B720970,,2027-07-08,clear,sterile,16,3,40.39,2026-07-02T00:00:00+00:00,Manual Theatre Stocktake
LOT-DRAP-SPINE_SURGICAL_DRAPE_PACK-03,INV-DRAP-SPINE_SURGICAL_DRAPE_PACK,Spine Surgical Drape Pack,drape,DRA-419954,05066587603669,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B206694,,2026-08-07,clear,sterile,8,4,25.65,2026-06-28T00:00:00+00:00,Manual Theatre Stocktake
LOT-DRAP-SPINE_SURGICAL_DRAPE_PACK-04,INV-DRAP-SPINE_SURGICAL_DRAPE_PACK,Spine Surgical Drape Pack,drape,DRA-419954,05066587603669,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B770153,,2026-10-06,clear,sterile,35,2,55.58,2026-06-19T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-DRAP-TOTAL_HIP_DRAPE_PACK-01,INV-DRAP-TOTAL_HIP_DRAPE_PACK,Total Hip Drape Pack,drape,DRA-770198,05096705466889,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B280908,,2026-08-07,clear,sterile,33,5,63.54,2026-06-29T00:00:00+00:00,ERP Materials Management
LOT-DRAP-TOTAL_KNEE_ARTHROPLASTY_DRAPE_-01,INV-DRAP-TOTAL_KNEE_ARTHROPLASTY_DRAPE_,Total Knee Arthroplasty Drape Pack,drape,DRA-918871,05073467065627,pack,LOC-STOCK-02,Orthopaedic Implant Store,B420214,,2027-07-08,clear,sterile,11,0,25.36,2026-07-04T00:00:00+00:00,ERP Materials Management
LOT-DRAP-UNIVERSAL_EXTREMITY_DRAPE_PACK-01,INV-DRAP-UNIVERSAL_EXTREMITY_DRAPE_PACK,Universal Extremity Drape Pack,drape,DRA-492540,05098069901627,pack,LOC-STOCK-04,Trauma Emergency Cupboard,B543588,,2026-10-06,clear,sterile,40,1,47.53,2026-06-21T00:00:00+00:00,ERP Materials Management
LOT-DRAP-UNIVERSAL_EXTREMITY_DRAPE_PACK-02,INV-DRAP-UNIVERSAL_EXTREMITY_DRAPE_PACK,Universal Extremity Drape Pack,drape,DRA-492540,05098069901627,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B274971,,2027-07-08,clear,sterile,15,3,33.08,2026-07-03T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-DRAP-UNIVERSAL_EXTREMITY_DRAPE_PACK-03,INV-DRAP-UNIVERSAL_EXTREMITY_DRAPE_PACK,Universal Extremity Drape Pack,drape,DRA-492540,05098069901627,pack,LOC-STOCK-03,Day Surgery Store,B110048,,2028-06-27,clear,sterile,7,3,21.97,2026-06-26T00:00:00+00:00,ERP Materials Management
LOT-DRAP-UNIVERSAL_EXTREMITY_DRAPE_PACK-04,INV-DRAP-UNIVERSAL_EXTREMITY_DRAPE_PACK,Universal Extremity Drape Pack,drape,DRA-492540,05098069901627,pack,LOC-STOCK-04,Trauma Emergency Cupboard,B535820,,2027-01-04,clear,sterile,30,5,73.31,2026-06-23T00:00:00+00:00,Manual Theatre Stocktake
LOT-DRAP-WATER_REPELLENT-01,INV-DRAP-WATER_REPELLENT,Water Repellent,drape,DRA-629789,05004653755646,pack,LOC-STOCK-03,Day Surgery Store,B134283,,2027-01-04,clear,sterile,18,2,28.41,2026-06-29T00:00:00+00:00,Manual Theatre Stocktake
LOT-CONS-ARTHROSCOPY_FLUID_3L-01,INV-CONS-ARTHROSCOPY_FLUID_3L,Arthroscopy Fluid 3L,consumable,CON-266520,05070805310033,bottle,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B635618,,2027-01-04,clear,sterile,134,0,54.51,2026-06-30T00:00:00+00:00,ERP Materials Management
LOT-CONS-ARTHROSCOPY_FLUID_3L-02,INV-CONS-ARTHROSCOPY_FLUID_3L,Arthroscopy Fluid 3L,consumable,CON-266520,05070805310033,bottle,LOC-STOCK-01,Main Theatre Sterile Store,B896922,,2028-06-27,quarantined,sterile,73,5,42.07,2026-07-02T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-CONS-ARTHROSCOPY_FLUID_3L-03,INV-CONS-ARTHROSCOPY_FLUID_3L,Arthroscopy Fluid 3L,consumable,CON-266520,05070805310033,bottle,LOC-STOCK-03,Day Surgery Store,B133796,,2026-06-18,clear,sterile,71,3,25.15,2026-07-06T00:00:00+00:00,ScanTrack Theatre Inventory
LOT-CONS-ARTHROSCOPY_FLUID_3L-04,INV-CONS-ARTHROSCOPY_FLUID_3L,Arthroscopy Fluid 3L,consumable,CON-266520,05070805310033,bottle,LOC-STOCK-02,Orthopaedic Implant Store,B950083,,2028-06-27,quarantined,sterile,34,5,55.96,2026-06-27T00:00:00+00:00,ERP Materials Management
